,East,East Midlands,London,North East,North West,South East,South West,West Midlands,Yorkshire and The Humber
2020-07-01,0.004419567321344806,0.002983541772262682,0.006941843747445331,0.003022184009518257,0.004275402528268067,0.006026799584902079,0.005824569093617566,0.0035954213330438955,0.003772995325845096
2020-10-01,0.004976219581712455,0.003366787926213391,0.007696747825202031,0.0033296304711040274,0.0049369010882096154,0.006854885645005485,0.006599011862602773,0.003987729118768421,0.004287005634127246
2021-01-01,0.005602518638170696,0.003799042557152213,0.00853291449135831,0.0036682179719879416,0.005700058173962384,0.007795700280634518,0.007475513764564064,0.004422619178062388,0.004870638583669165
2021-04-01,0.006307054363696122,0.004286512448648349,0.009458901314519432,0.004041071835012806,0.006580267166410068,0.008864281667964713,0.00846726666932143,0.004904662116001337,0.005533207471563987
2021-07-01,0.007099442943270912,0.004836174014965859,0.010484123670558789,0.004451624867553523,0.007595176221421673,0.010077584233011054,0.0095890948335442,0.005438907327817788,0.006285237462695749
2021-10-01,0.007990440652768783,0.005455864247922598,0.011618930807092018,0.004903646294686671,0.00876499327184042,0.011454696554494903,0.01085763634235692,0.0060309304427173215,0.007138613427037836
2022-01-01,0.00899206786393249,0.00615438117849125,0.012874686338550847,0.005401273131228256,0.01011282381217409,0.013017076237155638,0.01229153882206856,0.006686884840531853,0.00810674292671082
2022-04-01,0.01011774352118397,0.006941594501039795,0.014263852844954832,0.0059490441356646094,0.011665042017087061,0.014788800586768437,0.013911668738947967,0.007413557440503334,0.00920473502949983
2022-07-01,0.011382430116726945,0.007828566944897935,0.015800080055567472,0.0065519364824033685,0.013451694497878322,0.016796830889657877,0.015741332882672376,0.008218428931040037,0.010449595350967152
2022-10-01,0.012802788888965586,0.008827686871426519,0.01749829586028697,0.007215405277456713,0.01550693421104986,0.01907128674799884,0.017806509691790602,0.009109738565106986,0.011860437326191907
2023-01-01,0.014397344565746137,0.00995281241184846,0.019374799099334303,0.007945426025453246,0.017869479545914564,0.02164572518086544,0.02013608686512588,0.010096553584674818,0.013458709149159065
2023-04-01,0.01618665844523543,0.011219427225754749,0.02144735272766801,0.008748540131350362,0.020583090254780285,0.02455741699922122,0.022762100166606774,0.011188843255441842,0.015268435050724794
2023-07-01,0.018193507927205917,0.012644807633119117,0.023735275526646175,0.009631903486730787,0.023697047449879168,0.02784761023148585,0.025719966419597964,0.012397557385295136,0.01731646856567543
2023-10-01,0.02044306974727821,0.014248200430918921,0.02625953003431412,0.010603338146182108,0.027266619167170627,0.03156176705514338,0.029048701351896127,0.013734709061433722,0.019632754109774424
2024-01-01,0.022963103095757043,0.016051010122352646,0.02904280378106093,0.011671387041739574,0.03135348579247247,0.03574975674145598,0.03279111015615063,0.015213461165772999,0.022250591487649622
2024-04-01,0.025784127490549546,0.018076993531715053,0.03210958024520854,0.012845371610159837,0.03602609081348086,0.04046598254756037,0.03699393535541781,0.016848216009532898,0.02520689581827891
2024-07-01,0.028939588692448746,0.020352458817517544,0.03548619518287803,0.01413545211598804,0.041359871861724594,0.04576941536140417,0.04170794282803611,0.018654707158514815,0.028542442735700654
2024-10-01,0.03246600407975694,0.022906464694501912,0.03920087314301871,0.015552690339747316,0.04743731498960253,0.05172350138652496,0.04698792272276421,0.02065009219278315,0.03230208554819298
2025-01-01,0.036403076729382866,0.02577101419562835,0.043283738064063076,0.017109114161569832,0.054347762038484584,0.05839590554984584,0.052892577635796474,0.022853044750395082,0.03653492729228557
2025-04-01,0.04079376499531443,0.02898123551471948,0.04776679088565406,0.018817783402384405,0.06218688768644082,0.06585804711365388,0.05948426608531892,0.025283843736840585,0.04129442631160168
2025-07-01,0.045684291675847144,0.032575540343832796,0.05268384613278417,0.020692856083388955,0.0710557508169812,0.07418437988823783,0.0668285654056618,0.02796445703321955,0.04663840920133598
2025-10-01,0.05112407400519252,0.03659574764605449,0.05807041849243172,0.022749654025942683,0.08105931649059632,0.08345136745461552,0.07499361526086142,0.03091861640193581,0.052628959857400785
2026-01-01,0.057165552839423255,0.041087157998146655,0.06396354957614774,0.025004726434374246,0.09230434318210524,0.09373610517555996,0.08404920180824395,0.03417187956683841,0.05933214825485505
2026-04-01,0.06386389675359315,0.04609856054932407,0.07040156444062984,0.02747590978015976,0.10489653910715457,0.10511454700257102,0.09406554408508311,0.03775167463785657,0.06681755792286685
2026-07-01,0.07127655464151762,0.051682151376313865,0.0774237471416387,0.030182381935022352,0.1189369161033428,0.11765930782651296,0.10511174957258258,0.041687321167346435,0.07515756756189985
2026-10-01,0.07946262923349735,0.05789333874638491,0.08506992476941294,0.033144708081724636,0.13451731445922221,0.1314370329658828,0.11725391632867159,0.046010021184662554,0.08442634078068399
2027-01-01,0.08848204425326722,0.06479040779715117,0.09337995022347817,0.036384875465799604,0.15171514118440105,0.14650535656046307,0.13055287573537513,0.050752812586753376,0.09469847967936039
2027-04-01,0.09839448035967256,0.07243401478504982,0.10239307561499358,0.039926313543340794,0.17058745893607669,0.16290951054311853,0.14506159365458818,0.05595047631075398,0.10604730434594438
2027-07-01,0.10925806026896552,0.08088647985220178,0.1121472108231417,0.04379389553748265,0.19116468026172864,0.18067869454843588,0.1608222789096135,0.06163938784284619,0.11854273275351171
2027-10-01,0.1211277722479895,0.09021084785649107,0.12267806555148188,0.04801391685289812,0.21344425278285645,0.19982237173399858,0.1778632858232794,0.06785730291086123,0.13224875545855572
2028-01-01,0.13405363413352375,0.10046968996559875,0.1340181783627194,0.052614045233796,0.23738484859826012,0.22032671088051559,0.1961959400154629,0.0746430667750026,0.14722052795285695
2028-04-01,0.1480786175601407,0.11172362527482678,0.1461958426737199,0.05762323701499271,0.26290167127477265,0.24215144376505998,0.21581146012590977,0.08203623650559122,0.16350114079118708
2028-07-01,0.16323637414131273,0.12402955251047165,0.15923394751097322,0.06307161334582723,0.2898635373295762,0.2652274392419219,0.23667818720710004,0.09007660617661478,0.18111817274155004
2028-10-01,0.1795488312957372,0.137438597630867,0.17314875974940117,0.06899028991212629,0.31809234802348724,0.28945530161299104,0.258739361434623,0.09880362618585292,0.20008018250056273
2029-01-01,0.19702375377459197,0.15199380422316197,0.18794868418156388,0.07541115350309413,0.347365422574475,0.3147052718777098,0.28191169506848635,0.10825571012251743,0.22037334523519653
2029-04-01,0.2156523953086016,0.16772761985375273,0.2036330474700917,0.0823665788408547,0.37742091438037095,0.3408186411537454,0.30608497444606786,0.1184694259212127,0.24195848449779928
2029-07-01,0.23540738978951967,0.18465926200185456,0.22019096098477622,0.0898890794942671,0.40796620041347925,0.36761077682867366,0.3311228776301555,0.12947857261661203,0.26476877940498583
2029-10-01,0.2562410489102322,0.20279207990063902,0.23760032469105763,0.0980108875276405,0.4386887680093595,0.3948757223123992,0.35686511755502054,0.14131314993663102,0.288708432295226
2030-01-01,0.2780842387875743,0.2221110603847321,0.2558270384991067,0.10676345788447344,0.4692687871432487,0.4223921766670302,0.3831309177136839,0.15399823523637923,0.31365255545669624
